job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode
Android Dev Mobile App (Java/Kotlin),TOHSoft,Ha Noi,"Android, English, Software Architecture, SQL, Java, Kotlin",2025-09-29 10:00:14,https://itviec.com/it-jobs/chuyen-vien-cao-cap-kien-truc-giai-phap-ngan-hang-tmcp-tien-phong-tpbank-1858/content?job_index=16&locale=en&page=2,Solution Architect,At office
Chuyên viên cao cấp Kiến trúc Giải pháp,Ngân hàng TMCP Tiên Phong | TPBank,Ho Chi Minh,"Solution Architecture, Networking",2025-09-29 10:00:15,https://itviec.com/it-jobs/technical-project-manager-english-terralogic-0936/content?job_index=17&locale=en&page=2,Software/Technical Architect,At office
Technical Project Manager (English),Terralogic,Ho Chi Minh,"Project Management, Product Management, Cloud, English, .NET, Software Architecture",2025-09-29 10:00:15,https://itviec.com/it-jobs/mid-frontend-developer-reactjs-fullerton-health-0457/content?job_index=18&locale=en&page=2,Frontend Developer,At office
Mid Frontend Developer (ReactJS),Fullerton Health,Ha Noi,"ReactJS, TypeScript, JavaScript",2025-09-29 10:00:16,https://itviec.com/it-jobs/solution-architect-fintech-financial-domain-one-mount-group-5118/content?job_index=19&locale=en&page=2,Solution Architect,At office
Testing Software Supervisor,Datalogic Việt Nam,Ho Chi Minh,"Team Management, TestComplete, Robot Framework, Leadership, Automation Test, Android",2025-09-29 09:00:18,https://itviec.com/it-jobs/testing-software-supervisor-datalogic-viet-nam-0258/content?job_index=0&locale=en&page=3,Automation Tester,At office
Testing Software Supervisor,Datalogic Việt Nam,Ho Chi Minh,"Team Management, TestComplete, Robot Framework, Leadership, Automation Test, Android",2025-09-29 09:00:19,https://itviec.com/it-jobs/senior-quality-engineer-sun-life-vietnam-insurance-company-limited-3041/content?job_index=1&locale=en&page=3,Automation Tester,At office
Senior Quality Engineer,Sun Life Vietnam Insurance Company Limited,Ho Chi Minh,"QA QC, English",2025-09-29 08:00:19,https://itviec.com/it-jobs/senior-automation-tester-playwright-selenium-qa-qc-ekino-vietnam-0022/content?job_index=2&locale=en&page=3,Automation Tester,At office
"Senior Automation Tester (Playwright, Selenium, QA QC)",ekino Vietnam,Ha Noi,"Tester, QA QC, Automation Test, Selenium, Playwright, Java",2025-09-29 08:00:20,https://itviec.com/it-jobs/cvcc-van-hanh-ung-dung-t24-smartvista-esb-api-omni-abbank-4356/content?job_index=3&locale=en&page=3,Banking & Financial Systems Developer,At office
CVCC vận hành ứng dụng (T24/Smartvista/ESB/API/Omni ),ABBANK,Ho Chi Minh - Ha Noi,"System Admin, Java, API, SQL, PHP, .NET",2025-09-28 23:00:21,https://itviec.com/it-jobs/lead-site-reliability-engineer-aws-cloud-gft-technologies-vietnam-2426/content?job_index=4&locale=en&page=3,Manager,At office
"Lead Site Reliability Engineer (AWS, Cloud)",GFT Technologies Vietnam,Da Nang,"English, CloudFormation, Terraform, Cloud, DevOps, AWS",2025-09-28 23:00:21,https://itviec.com/it-jobs/technical-lead-backend-infrastructure-everfit-3713/content?job_index=5&locale=en&page=3,Manager,Hybrid (flexible between home and office)
