job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode,crawl_date
Senior Security Operations Engineer,AURIFY,Ho Chi Minh,"Security, SOAR, SIEM, Docker, Linux, English",2025-12-24 07:48:06,https://itviec.com/it-jobs/senior-security-operations-engineer-aurify-3622?lab_feature=preview_jd_page,Manual Tester,Hybrid (flexible between home and office),2025-12-24 08:59:23
"QA Engineer (System Testing, Manual tester, JIRA)",Motorola Solutions,Ho Chi Minh,"Integration test, Jira, Leadership",2025-12-24 07:48:06,https://itviec.com/it-jobs/qa-engineer-system-testing-manual-tester-jira-motorola-solutions-0946?lab_feature=preview_jd_page,Manual Tester,At office,2025-12-24 08:59:23
"Senior QA Engineer (System Testing,Manual tester,JIRA)",Motorola Solutions,Ho Chi Minh,"Python, Embedded, Automation Test",2025-12-24 07:48:07,https://itviec.com/it-jobs/senior-qa-engineer-system-testing-manual-tester-jira-motorola-solutions-0015?lab_feature=preview_jd_page,Automation Tester,At office,2025-12-24 08:59:23
Senior QA Automation Lab Engineer,Motorola Solutions,Ho Chi Minh,"Automation Test, JavaScript, Google Cloud, Python",2025-12-24 07:48:07,https://itviec.com/it-jobs/senior-qa-automation-lab-engineer-motorola-solutions-5654?lab_feature=preview_jd_page,Automation Tester,At office,2025-12-24 08:59:23
"QA Automation Engineer, Embedded Video AI",Motorola Solutions,Ho Chi Minh,"Leadership, Automation Test, Python, AI, Embedded",2025-12-24 06:48:07,https://itviec.com/it-jobs/qa-automation-engineer-embedded-video-ai-motorola-solutions-5154?lab_feature=preview_jd_page,Manager,,2025-12-24 08:59:23
"QA Automation Technical Manager, Embedded Video AI",Motorola Solutions,Ha Noi - Ho Chi Minh,"Leadership, Automation Test, Python, AI, Embedded",2025-12-24 06:48:07,https://itviec.com/it-jobs/qa-automation-technical-manager-embedded-video-ai-motorola-solutions-4640?lab_feature=preview_jd_page,Data Analyst,At office,2025-12-24 08:59:23
Penetration Tester,TymeX,Ho Chi Minh,"Automation Test, Git, API, Playwright",2025-12-24 04:48:08,https://itviec.com/it-jobs/penetration-tester-tymex-1127?lab_feature=preview_jd_page,Automation Tester,Hybrid (flexible between home and office),2025-12-24 08:59:23
Principal QA Engineer/QA Engineering Manager,GHN,Ho Chi Minh,,2025-12-24 04:48:18,https://itviec.com/it-jobs/principal-qa-engineer-qa-engineering-manager-ghn-0650?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-24 08:59:23
Junior - Middle C (Linux) Developer,IVC (ISB Vietnam),Ho Chi Minh - Da Nang,"Fullstack, Agile, English, AngularJS, Java, ReactJS",2025-12-24 03:48:18,https://itviec.com/it-jobs/junior-middle-c-linux-developer-ivc-isb-vietnam-4834?lab_feature=preview_jd_page,Fullstack Developer,At office,2025-12-24 08:59:23
Jr/Sr Full-Stack Developer (Java & React/Angular)-BONUS,KMS Technology,Ho Chi Minh,"Java, Spring Boot, MySQL, Project Management, SQL, English",2025-12-24 02:48:18,https://itviec.com/it-jobs/jr-sr-full-stack-developer-java-react-angular-bonus-kms-technology-0437?lab_feature=preview_jd_page,Project Manager,At office,2025-12-24 08:59:23
Product Owner,Devtify Technologies Corporation,Ho Chi Minh,"Product Management, Project Management",2025-12-23 15:48:20,https://itviec.com/it-jobs/product-owner-devtify-technologies-corporation-1342?lab_feature=preview_jd_page,Software/Technical Architect,At office,2025-12-24 08:59:23
Senior Software Architect,SEN VÀNG VIỆT NAM,Ho Chi Minh,".Net Core, TypeScript, JavaScript",2025-12-23 09:48:20,https://itviec.com/it-jobs/senior-software-architect-sen-vang-viet-nam-0517?lab_feature=preview_jd_page,Banking & Financial Systems Developer,At office,2025-12-24 08:59:23
Data Engineer (DBA),LG CNS Việt Nam,Ho Chi Minh,"Playwright, Jenkins, Selenium, Python",2025-12-23 08:48:21,https://itviec.com/it-jobs/test-automation-engineer-motorola-solutions-2222/content?job_index=17&locale=en&page=2,Automation Tester,At office,2025-12-24 08:59:23
Test Automation Engineer,Motorola Solutions,Ha Noi,"AI, C#, Java, Generative AI, Deep Learning, Machine Learning",2025-12-23 08:48:21,https://itviec.com/it-jobs/senior-developer-with-ai-skill-java-c-python-usol-vietnam-3250/content?job_index=18&locale=en&page=2,AI / Machine Learning Engineer,At office,2025-12-24 08:59:23
Android Engineer (Java/Kotlin),NAVER VIETNAM,Ho Chi Minh,"ReactJS, TypeScript, CSS",2025-12-23 08:48:32,https://itviec.com/it-jobs/android-engineer-java-kotlin-naver-vietnam-1353?lab_feature=preview_jd_page,Frontend Developer,At office,2025-12-24 08:59:23
Senior DevOps / Platform Engineer,Zuhlke Engineering Vietnam,Ho Chi Minh,"DevSecOps, Kubernetes, AWS",2025-12-23 08:48:32,https://itviec.com/it-jobs/senior-devops-platform-engineer-zuhlke-engineering-vietnam-4354?lab_feature=preview_jd_page,Vice President / Director,Hybrid (flexible between home and office),2025-12-24 08:59:23
"Senior Frontend Developer (ReactJS, VueJS, JavaScript)",Bolt Tech,Ho Chi Minh,,2025-12-23 08:48:32,https://itviec.com/it-jobs/senior-frontend-developer-reactjs-vuejs-javascript-bolt-tech-1146?lab_feature=preview_jd_page,Network Engineer,At office,2025-12-24 08:59:23
"Quality Control Engineer (QA QC, Manual Tester)",YRGLM Việt Nam,Ha Noi,"Tester, Data Analysis, API, SQL, QA QC",2025-12-23 08:48:33,https://itviec.com/it-jobs/quality-control-engineer-qa-qc-manual-tester-yrglm-viet-nam-0229?lab_feature=preview_jd_page,AI / Machine Learning Engineer,Hybrid (flexible between home and office),2025-12-24 08:59:23
,DNSE,Ho Chi Minh,,2025-12-23 08:48:33,https://itviec.com/it-jobs/ai-computer-vision-engineer-ekyc-face-matching-dnse-4547?lab_feature=preview_jd_page,Fullstack Developer,At office,2025-12-24 08:59:23
Fullstack .NET Engineer - SIGN-ON BONUS,Orient Software Development Corp.,Ha Noi - Ho Chi Minh,,2025-12-23 08:48:34,https://itviec.com/it-jobs/fullstack-net-engineer-sign-on-bonus-orient-software-development-corp-3003?lab_feature=preview_jd_page,Systems Engineer / Administrator,At office,2025-12-24 08:59:23
[US Market] System Admin (Infra/DevOps),RIKKEISOFT,Ho Chi Minh,"Project Management, Jira, Waterfall Methodology, Scrum, Ec-cube, Agile",2025-12-23 08:48:34,https://itviec.com/it-jobs/us-market-system-admin-infra-devops-rikkeisoft-1056?lab_feature=preview_jd_page,Project Manager,At office,2025-12-24 08:59:23
"Project Manager (Waterfall, Scrum, Agile, Jira)",YRGLM Việt Nam,Ho Chi Minh,"Project Management, Jira, Waterfall Methodology, Scrum, Ec-cube, Agile",2025-12-23 08:48:34,https://itviec.com/it-jobs/project-manager-waterfall-scrum-agile-jira-yrglm-viet-nam-5618?lab_feature=preview_jd_page,Game Developer,Hybrid (flexible between home and office),2025-12-24 08:59:23
"Data Engineer (SQL/NoSQL, AWS) - CRM",DNSE,Ho Chi Minh,"Data Engineer, PostgreSql, AWS, NoSQL, SQL",2025-12-23 08:48:35,https://itviec.com/it-jobs/data-engineer-sql-nosql-aws-crm-dnse-2111?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-24 08:59:23
"Site Reliability Engineer (Azure, English)",HRS Group,Ho Chi Minh,"AWS, Cloud, English",2025-12-23 08:48:45,https://itviec.com/it-jobs/site-reliability-engineer-azure-english-hrs-group-3129?lab_feature=preview_jd_page,DevOps Engineer,Remote (don't have to come to the office),2025-12-24 08:59:23
Senior DevOps Engineer (AWS/English),Employment Hero,Ho Chi Minh,"AWS, Cloud, English",2025-12-23 08:48:45,https://itviec.com/it-jobs/senior-devops-engineer-aws-english-employment-hero-1447?lab_feature=preview_jd_page,Backend Developer,Remote (don't have to come to the office),2025-12-24 08:59:23
Senior Backend Engineer (NodeJS/Go/Ruby/Java/Python),Employment Hero,Ho Chi Minh,"Database, Unix, Agile, AWS, Cloud, PostgreSql",2025-12-24 08:48:45,https://itviec.com/it-jobs/senior-backend-engineer-nodejs-go-ruby-java-python-employment-hero-0347?lab_feature=preview_jd_page,Database Engineer,Remote (don't have to come to the office),2025-12-24 08:59:23
"Database Engineer (PostgreSQL,AWS,Agile)",Katalon,Ho Chi Minh,,2025-12-23 08:48:46,https://itviec.com/it-jobs/database-engineer-postgresql-aws-agile-katalon-4828?lab_feature=preview_jd_page,Manager,Hybrid (flexible between home and office),2025-12-24 08:59:23
"Solution Architect (ERP, Java Microservice)",SAI Digital,Ho Chi Minh,"Business Analysis, ERP, CRM, English",2025-12-23 08:48:46,https://itviec.com/it-jobs/solution-architect-erp-java-microservice-sai-digital-2319?lab_feature=preview_jd_page,Business Analyst,Hybrid (flexible between home and office),2025-12-24 08:59:23
Business Analyst,SAI Digital,Ho Chi Minh,"Project Management, Team Management, ERP, CRM, English",2025-12-23 08:48:47,https://itviec.com/it-jobs/business-analyst-sai-digital-3921?lab_feature=preview_jd_page,Manager,Hybrid (flexible between home and office),2025-12-24 08:59:23
Project Manager (Open to Expats),SAI Digital,Ha Noi - Ho Chi Minh - Da Nang,"Project Management, Team Management, ERP, CRM, English",2025-12-23 08:48:47,https://itviec.com/it-jobs/project-manager-open-to-expats-sai-digital-5031?lab_feature=preview_jd_page,Data Engineer,Hybrid (flexible between home and office),2025-12-24 08:59:23
"Data Engineer (Spark, AWS Glue) (Onboard ASAP)",Hitachi Digital Services,Ho Chi Minh,"Embedded, Software Architecture, Embedded C, Project Management, Japanese, Chinese",2025-12-22 08:48:47,https://itviec.com/it-jobs/data-engineer-spark-aws-glue-onboard-asap-hitachi-digital-services-2218?lab_feature=preview_jd_page,Manager,,2025-12-24 08:59:23
,TymeX,Ho Chi Minh,,2025-12-22 08:48:48,https://itviec.com/it-jobs/senior-devops-data-platform-tymex-5622?lab_feature=preview_jd_page,Backend Developer,Hybrid (flexible between home and office),2025-12-24 08:59:23
"BackEnd Developer (Golang, Databases, SQL)",CubiCasa,Ho Chi Minh,"VueJS, Design, CSS, Figma, API, TypeScript",2025-12-22 08:48:48,https://itviec.com/it-jobs/backend-developer-golang-databases-sql-cubicasa-5358?lab_feature=preview_jd_page,Frontend Developer,Hybrid (flexible between home and office),2025-12-24 08:59:23
Frontend Engineer (Vue.js & Design Focus),CubiCasa,Ho Chi Minh,"ReactJS, Git, NextJS, TypeScript, NodeJS, JavaScript",2025-12-22 08:48:48,https://itviec.com/it-jobs/frontend-engineer-vue-js-design-focus-cubicasa-5718?lab_feature=preview_jd_page,Frontend Developer,"Charmington La Pointe Officetel Apartments, 181 Cao Thang St, District 10, Ho Chi Minh",2025-12-24 08:59:23
Senior Front-end Developer (NextJS/ReactJS),CUBICSTACK SOLUTIONS,Ho Chi Minh,"Golang, Agile, Bash Shell, Python, Cloud, Cloud-native Architecture",2025-12-22 08:48:48,https://itviec.com/it-jobs/senior-front-end-developer-nextjs-reactjs-cubicstack-solutions-2822?lab_feature=preview_jd_page,Cloud Engineer,"Charmington La Pointe Officetel Apartments, 181 Cao Thang St, District 10, Ho Chi Minh",2025-12-24 08:59:23
"Cloud Database Administrator (SQL Server, English)",Intratech Corp,Ho Chi Minh,".NET, English, MVC, SQL, C#, ASP.NET",2025-12-22 08:48:59,https://itviec.com/it-jobs/net-developer-net-c-asp-net-sql-server-intratech-corp-5801?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-24 08:59:23
[Sign-on Bonus] Senior Frontend Engineer - $55K/year,Crossian,Ho Chi Minh,"Tester, API, Database, QA QC, SQL, English",2025-12-22 08:48:59,https://itviec.com/it-jobs/sign-on-bonus-senior-frontend-engineer-55k-year-crossian-4712?lab_feature=preview_jd_page,Test Coordinator / QAQC Coordinator,At office,2025-12-24 08:59:23
"Quality Control (Tester, QA QC)",WTECH VIETNAM,Ho Chi Minh,,2025-12-22 08:48:59,https://itviec.com/it-jobs/quality-control-tester-qa-qc-wtech-vietnam-5002?lab_feature=preview_jd_page,DataOps / MLOps Engineer,At office,2025-12-24 08:59:23
MLOps Engineer,Trusting Social,Ho Chi Minh,"Data modeling, Computer Vision, Data Science, Algorithms, MLOps, Python",2025-12-22 08:49:00,https://itviec.com/it-jobs/mlops-engineer-trusting-social-3232?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-24 08:59:23
MLOps Engineer,WTECH VIETNAM,Ho Chi Minh,"Golang, Kafka, Microservices, AWS, MySQL, MongoDB",2025-12-22 08:49:00,https://itviec.com/it-jobs/backend-developer-golang-wtech-vietnam-4326?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-24 08:59:23
"Middle QC Engineer (Manual Tester, QA QC, API, AI)",Beincom,Ho Chi Minh,"QA QC, Agile, Postman, Tester, AI, API",2025-12-22 08:49:01,https://itviec.com/it-jobs/middle-qc-engineer-manual-tester-qa-qc-api-ai-beincom-2317?lab_feature=preview_jd_page,Manual Tester,At office,2025-12-24 08:59:23
"Middle/Senior Manual Tester (QA QC, English)",YOONG,Ho Chi Minh,"Java, Spring Boot, Spring, SQL, English",2025-12-22 08:49:01,https://itviec.com/it-jobs/middle-senior-manual-tester-qa-qc-english-yoong-4214?lab_feature=preview_jd_page,Backend Developer,At office,2025-12-24 08:59:23
Mid/Sr Java Developer (English Required) - Up to 3200$,"Rakuten Fintech Vietnam Co., Ltd.",Ha Noi,"Java, Spring Boot, Spring, SQL, English",2025-12-22 08:49:02,https://itviec.com/it-jobs/mid-sr-java-developer-english-required-up-to-3200-rakuten-fintech-vietnam-co-ltd-1829?lab_feature=preview_jd_page,Fullstack Developer,At office,2025-12-24 08:59:23
